Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
26-Jun-2024,EQ,"1,202.00","1,222.85","1,193.85","1,197.95","1,211.00","1,218.00","1,213.68","1,222.85",899.0,"2,54,03,461","30,83,17,20,749.55","3,38,144"
25-Jun-2024,EQ,"1,170.25","1,206.00","1,167.65","1,170.10","1,204.00","1,197.95","1,189.12","1,206.00",899.0,"2,73,09,845","32,47,47,29,413.30","3,40,752"
24-Jun-2024,EQ,"1,154.65","1,175.65","1,152.65","1,158.65","1,169.50","1,170.10","1,167.04","1,175.65",899.0,"1,22,10,295","14,24,99,61,881.65","3,34,746"
21-Jun-2024,EQ,"1,163.55","1,169.90","1,150.65","1,156.80","1,157.50","1,158.65","1,158.43","1,173.00",899.0,"6,92,59,425","80,23,22,44,391.80","3,64,312"
20-Jun-2024,EQ,"1,154.05","1,160.00","1,135.50","1,144.45","1,156.60","1,156.80","1,148.53","1,173.00",899.0,"1,54,75,933","17,77,46,09,753.75","2,90,565"
19-Jun-2024,EQ,"1,127.95","1,165.55","1,126.15","1,122.85","1,144.40","1,144.45","1,145.30","1,173.00",899.0,"3,43,09,514","39,29,47,54,455.05","4,11,691"
18-Jun-2024,EQ,"1,113.95","1,135.05","1,101.20","1,105.65","1,125.75","1,122.85","1,116.84","1,173.00",899.0,"1,83,06,176","20,44,50,19,555.65","3,95,048"
14-Jun-2024,EQ,"1,114.00","1,114.00","1,099.45","1,107.35","1,105.05","1,105.65","1,106.42","1,173.00",899.0,"1,13,77,979","12,58,88,66,450.90","2,54,117"
13-Jun-2024,EQ,"1,122.20","1,123.20","1,105.00","1,119.55","1,110.30","1,107.35","1,113.06","1,173.00",899.0,"1,24,94,254","13,90,68,65,822.30","2,42,344"
12-Jun-2024,EQ,"1,121.00","1,133.40","1,112.00","1,118.20","1,116.80","1,119.55","1,122.44","1,173.00",899.0,"1,60,96,514","18,06,73,58,887.55","2,52,614"
11-Jun-2024,EQ,"1,119.75","1,129.05","1,111.00","1,123.80","1,117.00","1,118.20","1,121.15","1,173.00",899.0,"1,22,50,002","13,73,41,01,150.75","2,60,793"
10-Jun-2024,EQ,"1,116.00","1,133.20","1,115.10","1,121.70","1,119.80","1,123.80","1,125.65","1,173.00",899.0,"1,08,51,455","12,21,49,52,684.85","2,66,869"
07-Jun-2024,EQ,"1,110.40","1,128.30","1,103.60","1,110.40","1,121.00","1,121.70","1,121.00","1,173.00",899.0,"1,71,97,635","19,27,84,88,358.35","2,59,981"
06-Jun-2024,EQ,"1,118.00","1,118.00","1,096.60","1,108.65","1,111.75","1,110.40","1,108.24","1,173.00",899.0,"1,85,74,162","20,58,45,51,019.20","3,22,991"
05-Jun-2024,EQ,"1,085.00","1,123.25","1,051.05","1,071.45","1,102.95","1,108.65","1,088.83","1,173.00",899.0,"4,21,72,104","45,91,82,90,524.45","4,95,916"
04-Jun-2024,EQ,"1,157.90","1,159.40","1,053.55","1,160.00","1,076.00","1,071.45","1,100.42","1,173.00",899.0,"4,34,76,837","47,84,26,67,620.90","7,36,743"
03-Jun-2024,EQ,"1,170.00","1,173.00","1,136.30","1,121.05","1,164.90","1,160.00","1,153.68","1,173.00",899.0,"2,56,99,977","29,64,95,82,413.30","4,04,461"
31-May-2024,EQ,"1,118.00","1,130.60","1,111.25","1,113.70","1,121.85","1,121.05","1,121.14","1,169.55",899.0,"2,61,97,718","29,37,12,25,814.90","3,72,763"
30-May-2024,EQ,"1,097.00","1,121.00","1,096.90","1,102.00","1,118.00","1,113.70","1,112.39","1,169.55",899.0,"1,52,55,387","16,96,98,73,875.30","2,88,897"
29-May-2024,EQ,"1,115.05","1,123.55","1,098.50","1,126.95","1,104.00","1,102.00","1,105.33","1,169.55",899.0,"1,92,68,547","21,29,80,39,298.25","2,78,017"
